
---------- Begin Simulation Statistics ----------
final_tick                               546375689000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 266352                       # Simulator instruction rate (inst/s)
host_mem_usage                                 643568                       # Number of bytes of host memory used
host_op_rate                                   266792                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  3546.05                       # Real time elapsed on the host
host_tick_rate                              161177420                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   942525265                       # Number of instructions simulated
sim_ops                                     944085022                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.576379                       # Number of seconds simulated
sim_ticks                                566378689000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 150084447                       # number of cc regfile reads
system.cpu.cc_regfile_writes                150086252                       # number of cc regfile writes
system.cpu.committedInsts                   952525265                       # Number of Instructions Simulated
system.cpu.committedOps                     954085022                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.605106                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.605106                       # CPI: Total CPI of All Threads
system.cpu.idleCycles                           29908                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              1305316                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                151355812                       # Number of branches executed
system.cpu.iew.exec_nop                         25974                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.701870                       # Inst execution rate
system.cpu.iew.exec_refs                    503952795                       # number of memory reference insts executed
system.cpu.iew.exec_stores                  125292826                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 6763202                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts             391620403                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                103                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              2926                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts            130479909                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts          1013575403                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts             378659969                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           1655600                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             980921371                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                 101474                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               4094340                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                1322987                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               5814702                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents          18090                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect       442306                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         863010                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 816522130                       # num instructions consuming a value
system.cpu.iew.wb_count                     978864290                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.785760                       # average fanout of values written-back
system.cpu.iew.wb_producers                 641590166                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.698301                       # insts written-back per cycle
system.cpu.iew.wb_sent                      980069017                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads               1143545901                       # number of integer regfile reads
system.cpu.int_regfile_writes               730702217                       # number of integer regfile writes
system.cpu.ipc                               1.652603                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.652603                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     48.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     48.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     48.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     48.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     48.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     48.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     48.58% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead            379861217     38.66%     87.24% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite           125399883     12.76%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite              0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total              982576971                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                       0                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads                   0                       # Number of floating instruction queue reads
system.cpu.iq.fp_inst_queue_wakeup_accesses            0                       # Number of floating instruction queue wakeup accesses
system.cpu.iq.fp_inst_queue_writes                  0                       # Number of floating instruction queue writes
system.cpu.iq.fu_busy_cnt                   657918521                       # FU busy when requested
system.cpu.iq.fu_busy_rate                   0.669585                       # FU busy rate (busy events/executed inst)
system.cpu.iq.fu_full::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IntAlu                 1799579      0.27%      0.27% # attempts to use FU when none available
system.cpu.iq.fu_full::IntMult                      0      0.00%      0.27% # attempts to use FU when none available
system.cpu.iq.fu_full::IntDiv                       0      0.00%      0.27% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatAdd                     0      0.00%      0.27% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCmp                     0      0.00%      0.27% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCvt                     0      0.00%      0.27% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMult                    0      0.00%      0.27% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMultAcc                 0      0.00%      0.27% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatDiv                     0      0.00%      0.27% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMisc                    0      0.00%      0.27% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatSqrt                    0      0.00%      0.27% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAdd                      0      0.00%      0.27% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAddAcc                   0      0.00%      0.27% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAlu                      0      0.00%      0.27% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCmp                      0      0.00%      0.27% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCvt                      0      0.00%      0.27% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMisc                     0      0.00%      0.27% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMult                     0      0.00%      0.27% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMultAcc                  0      0.00%      0.27% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShift                    0      0.00%      0.27% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShiftAcc                 0      0.00%      0.27% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdDiv                      0      0.00%      0.27% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSqrt                     0      0.00%      0.27% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAdd                 0      0.00%      0.27% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAlu                 0      0.00%      0.27% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCmp                 0      0.00%      0.27% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCvt                 0      0.00%      0.27% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatDiv                 0      0.00%      0.27% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMisc                0      0.00%      0.27% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMult                0      0.00%      0.27% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMultAcc             0      0.00%      0.27% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatSqrt                0      0.00%      0.27% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAdd                0      0.00%      0.27% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAlu                0      0.00%      0.27% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceCmp                0      0.00%      0.27% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceAdd            0      0.00%      0.27% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceCmp            0      0.00%      0.27% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAes                      0      0.00%      0.27% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAesMix                   0      0.00%      0.27% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha1Hash                 0      0.00%      0.27% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha1Hash2                0      0.00%      0.27% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha256Hash               0      0.00%      0.27% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha256Hash2              0      0.00%      0.27% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShaSigma2                0      0.00%      0.27% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShaSigma3                0      0.00%      0.27% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdPredAlu                  0      0.00%      0.27% # attempts to use FU when none available
system.cpu.iq.fu_full::MemRead              403177398     61.28%     61.55% # attempts to use FU when none available
system.cpu.iq.fu_full::MemWrite             252941544     38.45%    100.00% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMemRead                 0      0.00%    100.00% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMemWrite                0      0.00%    100.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IprAccess                    0      0.00%    100.00% # attempts to use FU when none available
system.cpu.iq.fu_full::InstPrefetch                 0      0.00%    100.00% # attempts to use FU when none available
system.cpu.iq.int_alu_accesses             1630906382                       # Number of integer alu accesses
system.cpu.iq.int_inst_queue_reads         3185395586                       # Number of integer instruction queue reads
system.cpu.iq.int_inst_queue_wakeup_accesses    970536427                       # Number of integer instruction queue wakeup accesses
system.cpu.iq.int_inst_queue_writes        1062339720                       # Number of integer instruction queue writes
system.cpu.iq.iqInstsAdded                 1013549326                       # Number of instructions added to the IQ (excludes non-spec)
system.cpu.iq.iqInstsIssued                 982576971                       # Number of instructions issued
system.cpu.iq.iqNonSpecInstsAdded                 103                       # Number of non-speculative instructions added to the IQ
system.cpu.iq.iqSquashedInstsExamined        59464406                       # Number of squashed instructions iterated over during squash; mainly for profiling
system.cpu.iq.iqSquashedInstsIssued           3897829                       # Number of squashed instructions issued
system.cpu.iq.iqSquashedNonSpecRemoved             41                       # Number of squashed non-spec instructions that were removed
system.cpu.iq.iqSquashedOperandsExamined     54998685                       # Number of squashed operands that are examined and possibly removed from graph
system.cpu.iq.issued_per_cycle::samples     576348782                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::mean         1.704830                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::stdev        0.814775                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::underflows            0      0.00%      0.00% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::0            34870815      6.05%      6.05% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::1           196861884     34.16%     40.21% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::2           248133162     43.05%     83.26% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::3            96482921     16.74%    100.00% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::overflows            0      0.00%    100.00% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::min_value            0                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::max_value            3                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::total       576348782                       # Number of insts issued each cycle
system.cpu.iq.rate                           1.704742                       # Inst issue rate
system.cpu.iq.vec_alu_accesses                9589108                       # Number of vector alu accesses
system.cpu.iq.vec_inst_queue_reads           17923488                       # Number of vector instruction queue reads
system.cpu.iq.vec_inst_queue_wakeup_accesses      8327863                       # Number of vector instruction queue wakeup accesses
system.cpu.iq.vec_inst_queue_writes          10692197                       # Number of vector instruction queue writes
system.cpu.memDep0.conflictingLoads         198521472                       # Number of conflicting loads.
system.cpu.memDep0.conflictingStores         32280343                       # Number of conflicting stores.
system.cpu.memDep0.insertedLoads            391620403                       # Number of loads inserted to the mem dependence unit.
system.cpu.memDep0.insertedStores           130479909                       # Number of stores inserted to the mem dependence unit.
system.cpu.misc_regfile_reads              3216320063                       # number of misc regfile reads
system.cpu.misc_regfile_writes                5639431                       # number of misc regfile writes
system.cpu.numCycles                        576378690                       # number of cpu cycles simulated
system.cpu.numWorkItemsCompleted                    0                       # number of work items this cpu completed
system.cpu.numWorkItemsStarted                      0                       # number of work items this cpu started
system.cpu.timesIdled                             773                       # Number of times that the entire CPU went into an idle state and unscheduled itself
system.cpu.vec_regfile_reads                  6912669                       # number of vector regfile reads
system.cpu.vec_regfile_writes                 5646673                       # number of vector regfile writes
system.cpu.workload.numSyscalls                    11                       # Number of system calls
system.membus.snoop_filter.hit_multi_requests            0                       # Number of requests hitting in the snoop filter with multiple (>1) holders of the requested data.
system.membus.snoop_filter.hit_multi_snoops            0                       # Number of snoops hitting in the snoop filter with multiple (>1) holders of the requested data.
system.membus.snoop_filter.hit_single_requests            0                       # Number of requests hitting in the snoop filter with a single holder of the requested data.
system.membus.snoop_filter.hit_single_snoops            0                       # Number of snoops hitting in the snoop filter with a single holder of the requested data.
system.membus.snoop_filter.tot_requests          1733                       # Total number of requests made to the snoop filter.
system.membus.snoop_filter.tot_snoops               0                       # Total number of snoops made to the snoop filter.
system.tol2bus.snoop_filter.hit_multi_requests            1                       # Number of requests hitting in the snoop filter with multiple (>1) holders of the requested data.
system.tol2bus.snoop_filter.hit_multi_snoops            0                       # Number of snoops hitting in the snoop filter with multiple (>1) holders of the requested data.
system.tol2bus.snoop_filter.hit_single_requests          788                       # Number of requests hitting in the snoop filter with a single holder of the requested data.
system.tol2bus.snoop_filter.hit_single_snoops            0                       # Number of snoops hitting in the snoop filter with a single holder of the requested data.
system.tol2bus.snoop_filter.tot_requests         2446                       # Total number of requests made to the snoop filter.
system.tol2bus.snoop_filter.tot_snoops              0                       # Total number of snoops made to the snoop filter.
system.clk_domain.clock                          1000                       # Clock period in ticks
system.cpu.branchPred.lookups               155284857                       # Number of BP lookups
system.cpu.branchPred.condPredicted          51411406                       # Number of conditional branches predicted
system.cpu.branchPred.condIncorrect           1305622                       # Number of conditional branches incorrect
system.cpu.branchPred.BTBLookups             83138736                       # Number of BTB lookups
system.cpu.branchPred.BTBHits                83137347                       # Number of BTB hits
system.cpu.branchPred.BTBHitPct             99.998329                       # BTB Hit Percentage
system.cpu.branchPred.RASUsed                33028930                       # Number of times the RAS was used to get a target.
system.cpu.branchPred.RASIncorrect                 15                       # Number of incorrect RAS predictions.
system.cpu.branchPred.indirectLookups            4170                       # Number of indirect predictor lookups.
system.cpu.branchPred.indirectHits               3901                       # Number of indirect target hits.
system.cpu.branchPred.indirectMisses              269                       # Number of indirect misses.
system.cpu.branchPred.indirectMispredicted          119                       # Number of mispredicted indirect branches.
system.cpu.commit.commitSquashedInsts        59465714                       # The number of squashed insts skipped by commit
system.cpu.commit.commitNonSpecStalls              62                       # The number of times commit has been forced to stall to communicate backwards
system.cpu.commit.branchMispredicts           1304971                       # The number of times a branch was mispredicted
system.cpu.commit.numCommittedDist::samples    568262847                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::mean     1.678996                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::stdev     1.962129                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::0       156150122     27.48%     27.48% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::1       168468602     29.65%     57.12% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::2       144445933     25.42%     82.54% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::3        56655085      9.97%     92.51% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::4           28778      0.01%     92.52% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::5          833272      0.15%     92.67% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::6         4437169      0.78%     93.45% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::7         2070336      0.36%     93.81% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::8        35173550      6.19%    100.00% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::total    568262847                       # Number of insts commited each cycle
system.cpu.commit.instsCommitted            952551204                       # Number of instructions committed
system.cpu.commit.opsCommitted              954110961                       # Number of ops (including micro ops) committed
system.cpu.commit.memRefs                   493325614                       # Number of memory references committed
system.cpu.commit.loads                     370271075                       # Number of loads committed
system.cpu.commit.amos                              0                       # Number of atomic instructions committed
system.cpu.commit.membars                          50                       # Number of memory barriers committed
system.cpu.commit.branches                  144011441                       # Number of branches committed
system.cpu.commit.vector                      8323121                       # Number of committed Vector instructions.
system.cpu.commit.floating                          0                       # Number of committed floating point instructions.
system.cpu.commit.integer                   868433518                       # Number of committed integer instructions.
system.cpu.commit.functionCalls              30586493                       # Number of function calls committed.
system.cpu.commit.committedInstType_0::No_OpClass            2      0.00%      0.00% # Class of committed instruction
system.cpu.commit.committedInstType_0::IntAlu    452323204     47.41%     47.41% # Class of committed instruction
system.cpu.commit.committedInstType_0::IntMult           95      0.00%     47.41% # Class of committed instruction
system.cpu.commit.committedInstType_0::IntDiv      1409809      0.15%     47.56% # Class of committed instruction
system.cpu.commit.committedInstType_0::FloatAdd            1      0.00%     47.56% # Class of committed instruction
system.cpu.commit.committedInstType_0::FloatCmp            1      0.00%     47.56% # Class of committed instruction
system.cpu.commit.committedInstType_0::FloatCvt      4229420      0.44%     48.00% # Class of committed instruction
system.cpu.commit.committedInstType_0::FloatMult      1409806      0.15%     48.15% # Class of committed instruction
system.cpu.commit.committedInstType_0::FloatMultAcc            0      0.00%     48.15% # Class of committed instruction
system.cpu.commit.committedInstType_0::FloatDiv            0      0.00%     48.15% # Class of committed instruction
system.cpu.commit.committedInstType_0::FloatMisc      1409809      0.15%     48.29% # Class of committed instruction
system.cpu.commit.committedInstType_0::FloatSqrt            1      0.00%     48.29% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdAdd           11      0.00%     48.29% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdAddAcc            0      0.00%     48.29% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdAlu            8      0.00%     48.29% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdCmp            8      0.00%     48.29% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdCvt            0      0.00%     48.29% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdMisc         3172      0.00%     48.29% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdMult            0      0.00%     48.29% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdMultAcc            0      0.00%     48.29% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdShift            0      0.00%     48.29% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdShiftAcc            0      0.00%     48.29% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdDiv            0      0.00%     48.29% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdSqrt            0      0.00%     48.29% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdFloatAdd            0      0.00%     48.29% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdFloatAlu            0      0.00%     48.29% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdFloatCmp            0      0.00%     48.29% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdFloatCvt            0      0.00%     48.29% # Class of committed instruction
system.cpu.commit.committedInstType_0::SimdFloatDiv            0      0.00%     48.29% # Class of committed instruction
